Year,Month,Type,Model,Finished,Customer name,Business,Sold by,Remark,Unit,Amount,Type of customers,Purpose,Gender,Age
FY24/25,06_September,Hybrid,214VC Secession,WHPC,Bob,Music School,Yamaha HQ,Discounted,2.0,40000.0,Yamaha student,Decoration,Female,51-60
FY21/22,10_January,Grand,GC1,PWH,Jane Smith,Music School,,,,20000.0,Display,Display at YMS,,60+
FY22/23,05_August,Baby Grand,DC5X,PWH,Bob,Music School,,,3.0,30000.0,Yamaha student,School equipment,,51-60
FY23/24,06_September,Premium Grand,DGC1,PWH,Jane Smith,Concert Hall,Yamaha HQ,,,10000.0,,Entertainment,Female,20-30
FY25/26,12_March,Grand,DC7X,WHPC,Jane Smith,Concert Hall,Dealer B,Urgent,1.0,40000.0,Yamaha student,Hobby,Female,60+
FY23/24,05_August,Grand,GB1K,,Alice,Dealer,Dealer A,Discounted,,20000.0,General customer,Display,Female,60+
FY23/24,06_September,Grand,GB1K,PE,Yamaha Corp,Concert Hall,Yamaha HQ,,3.0,50000.0,General customer,Display,Female,41-50
FY25/26,12_March,Premium Grand,GC1,PE,,,Dealer A,,2.0,,Display,Decoration,Female,31-40
FY24/25,01_April,Premium Grand,DGC1,WHPC,Jane Smith,Concert Hall,Dealer B,Discounted,2.0,10000.0,Project,Decoration,Female,41-50
FY23/24,06_September,Hybrid,GB1K,PWH,John Doe,Music School,Dealer A,Discounted,2.0,50000.0,Yamaha student,Display at YMS,Male,
FY21/22,02_May,Premium Grand,GC1,WHPC,Yamaha Corp,Concert Hall,,,3.0,10000.0,Project,Hobby,Female,51-60
FY23/24,03_June,Baby Grand,C6X,,Jane Smith,Concert Hall,Yamaha HQ,Discounted,3.0,50000.0,General customer,School equipment,Male,20-30
FY25/26,09_December,Baby Grand,DC7X,PE,Bob,Music School,Dealer A,Discounted,1.0,10000.0,Project,School equipment,Male,60+
FY22/23,03_June,Premium Grand,214VC Secession,WHPC,Jane Smith,Private,,,2.0,,Yamaha student,,Male,41-50
FY24/25,12_March,Grand,DGC1,PE,John Doe,Dealer,Dealer B,VIP,2.0,30000.0,General customer,Display,Male,60+
